Land	Typ	Name	Webseite	Beschreibung	Telegram	Video	Adresse
Schweiz	Person	Heinz Raschein	https://heinz-raschein.ch,https://heinz-raschein.ch		heinzraschein	youtube|https://youtube.com,dlive|https://dlive.com	
Schweiz	Organisation	Unser Recht	https://unser-recht.ch				
Schweiz	Organisation	Juristenkomitee	https://juristenkomitee.ch				
Schweiz	Organisation	Vereinte Rechtshilfe	https://vereinte-rechtshilfe.ch				
Schweiz	Person	Philipp Kruse	https://www.kruse-law.ch	Beirat von FdV	philippkruse		Kruse | Law, Philipp Kruse, Rechtsanwalt, LL.M., Talstrasse 20, 8001 ZÃ¼rich
Schweiz	Organisation	Wyssmann und Partner	https://www.sozietaet.ch				
Schweiz	Organisation	Wir Menschen	https://wirmenschen.ch				
Schweiz	Organisation	WirKlagenAn	https://www.wirklagenan.org				
Schweiz	Organisation		www.hot.sips.com				
Schweiz	Organisation	Voillat Facincani Sutter + Partner	https://www.vfs-partner.ch				
Schweiz	Person	Alex Brunner	https://politik.brunner-architekt.ch/	brunner-architekt.ch			
